exp,X,n,pair_alpha,exclusion_alpha,bits_per_gap,delta_vs_B1_bits_per_gap
18.0,262144.0,20390.0,0.0,0.03125,2.5486087970020077,-0.00036633397231035825
18.0,262144.0,20390.0,0.0,0.0625,2.549048783444042,-0.0008063204143446817
18.0,262144.0,20390.0,0.0,0.125,2.5501590610312017,-0.0019165980015045385
18.0,262144.0,20390.0,0.015625,0.0,2.5483322928914793,-8.982986178212409e-05
18.0,262144.0,20390.0,0.015625,0.015625,2.5485047322428933,-0.000262269213196143
18.0,262144.0,20390.0,0.015625,0.03125,2.548695329521083,-0.00045286649138541766
18.0,262144.0,20390.0,0.015625,0.0625,2.5491319923632423,-0.0008895293335451478
18.0,262144.0,20390.0,0.015625,0.125,2.5502355431202948,-0.001993080090597625
18.0,262144.0,20390.0,0.03125,0.0,2.548455697629624,-0.00021323459992651295
18.0,262144.0,20390.0,0.03125,0.015625,2.54862647086315,-0.0003840078334526461
18.0,262144.0,20390.0,0.03125,0.03125,2.5488153952516117,-0.0005729322219143022
18.0,262144.0,20390.0,0.03125,0.0625,2.549248691877987,-0.0010062288482894392
18.0,262144.0,20390.0,0.03125,0.125,2.5503454276148454,-0.002102964585148268
18.0,262144.0,20390.0,0.0625,0.0,2.548803410714292,-0.0005609476845944129
18.0,262144.0,20390.0,0.0625,0.015625,2.548970789546823,-0.0007283265171260118
18.0,262144.0,20390.0,0.0625,0.03125,2.549156305287215,-0.0009138422575176914
18.0,262144.0,20390.0,0.0625,0.0625,2.5495827415962964,-0.0013402785665991568
18.0,262144.0,20390.0,0.0625,0.125,2.5506655826502147,-0.0024231196205172704
18.0,262144.0,20390.0,0.125,0.0,2.549903644980176,-0.0016611819504788754
18.0,262144.0,20390.0,0.125,0.015625,2.5500639863188383,-0.0018215232891409259
18.0,262144.0,20390.0,0.125,0.03125,2.5502424332604807,-0.0019999702307833406
18.0,262144.0,20390.0,0.125,0.0625,2.5506546373446604,-0.0024121743149630426
18.0,262144.0,20390.0,0.125,0.125,2.5517086304056065,-0.003466167375909043
