null_index,exp,X,n,R_bits_per_gap
12,19,524288.0,38552.0,-2.5938991492010802e-05
12,20,1048576.0,73381.0,-1.3627505757621213e-05
12,21,2097152.0,140588.0,-7.1129826158704945e-06
12,22,4194304.0,267801.0,-3.7341160040477667e-06
12,23,8388608.0,512425.0,-1.9515050983070655e-06
12,24,16777216.0,985884.0,-1.014318114504344e-06
12,25,33554432.0,1894569.0,-5.278245342344346e-07
12,26,67108864.0,3644137.0,-2.7441339334937113e-07
13,15,32768.0,3059.0,-0.0003269042170643999
13,16,65536.0,5781.0,-0.0001729804532087877
13,17,131072.0,10934.0,-9.145783793671103e-05
13,18,262144.0,20671.0,-4.8376953219486056e-05
13,19,524288.0,38730.0,-2.5819777949909642e-05
13,20,1048576.0,73939.0,-1.3524662221561014e-05
13,21,2097152.0,140213.0,-7.132006304693597e-06
13,22,4194304.0,268625.0,-3.7226617031177325e-06
13,23,8388608.0,514397.0,-1.9440237792988793e-06
13,24,16777216.0,987683.0,-1.0124706003849419e-06
13,25,33554432.0,1894076.0,-5.279619191626932e-07
13,26,67108864.0,3644921.0,-2.7435436872294297e-07
14,15,32768.0,3094.0,-0.00032320620555914743
14,16,65536.0,5679.0,-0.0001760873393203024
14,17,131072.0,10670.0,-9.372071227741305e-05
14,18,262144.0,20372.0,-4.908698213233858e-05
14,19,524288.0,38733.0,-2.5817778122014854e-05
14,20,1048576.0,73904.0,-1.3531067330591021e-05
14,21,2097152.0,140546.0,-7.115108220796076e-06
14,22,4194304.0,267792.0,-3.7342415008663376e-06
14,23,8388608.0,514111.0,-1.9451052399190077e-06
14,24,16777216.0,985071.0,-1.015155252768582e-06
14,25,33554432.0,1895254.0,-5.276337630734441e-07
14,26,67108864.0,3648243.0,-2.741045484086462e-07
15,15,32768.0,3048.0,-0.0003280839895013115
15,16,65536.0,5668.0,-0.00017642907551164455
15,17,131072.0,10810.0,-9.250693802035187e-05
15,18,262144.0,20428.0,-4.8952418249461555e-05
15,19,524288.0,38774.0,-2.5790478155464982e-05
15,20,1048576.0,73485.0,-1.3608219364496144e-05
15,21,2097152.0,140552.0,-7.114804485172734e-06
15,22,4194304.0,268446.0,-3.7251439768146763e-06
15,23,8388608.0,513226.0,-1.9484593531894282e-06
15,24,16777216.0,983934.0,-1.0163283309652887e-06
