exp,X,n,pair_alpha,exclusion_alpha,bits_per_gap,delta_vs_B1_bits_per_gap
16.0,65536.0,5709.0,0.125,0.03125,2.3430272134766277,-0.0022282274455103497
16.0,65536.0,5709.0,0.125,0.0625,2.3436670939197275,-0.002868107888610484
16.0,65536.0,5709.0,0.125,0.125,2.3455749264051615,-0.0047759403740444805
17.0,131072.0,10749.0,0.0,0.0,2.451310797890533,0.0
17.0,131072.0,10749.0,0.0,0.015625,2.451543730328426,-0.00023293243789318036
17.0,131072.0,10749.0,0.0,0.03125,2.451820529509983,-0.0005097316194501857
17.0,131072.0,10749.0,0.0,0.0625,2.4525134684699084,-0.001202670579375348
17.0,131072.0,10749.0,0.0,0.125,2.4545182571179414,-0.003207459227408385
17.0,131072.0,10749.0,0.015625,0.0,2.4513715753294076,-6.077743887462287e-05
17.0,131072.0,10749.0,0.015625,0.015625,2.45160336657652,-0.0002925686859867681
17.0,131072.0,10749.0,0.015625,0.03125,2.451879021065192,-0.0005682231746590045
17.0,131072.0,10749.0,0.015625,0.0625,2.452569660245302,-0.0012588623547690363
17.0,131072.0,10749.0,0.015625,0.125,2.45456980863729,-0.0032590107467568934
17.0,131072.0,10749.0,0.03125,0.0,2.451465281420024,-0.00015448352949076654
17.0,131072.0,10749.0,0.03125,0.015625,2.451695895764674,-0.0003850978741408801
17.0,131072.0,10749.0,0.03125,0.03125,2.451970369368414,-0.0006595714778808313
17.0,131072.0,10749.0,0.03125,0.0625,2.4526586349102364,-0.0013478370197035695
17.0,131072.0,10749.0,0.03125,0.125,2.4546539891886416,-0.003343191298108451
17.0,131072.0,10749.0,0.0625,0.0,2.4517516663694976,-0.0004408684789644184
17.0,131072.0,10749.0,0.0625,0.015625,2.451979819453639,-0.0006690215631059752
17.0,131072.0,10749.0,0.0625,0.03125,2.452251822389756,-0.0009410244992227315
17.0,131072.0,10749.0,0.0625,0.0625,2.4529351184332504,-0.001624320542717316
17.0,131072.0,10749.0,0.0625,0.125,2.454920421607695,-0.0036096237171621454
17.0,131072.0,10749.0,0.125,0.0,2.4527215789276755,-0.0014107810371424914
17.0,131072.0,10749.0,0.125,0.015625,2.4529443775661472,-0.0016335796756141471
17.0,131072.0,10749.0,0.125,0.03125,2.453211001467273,-0.0019002035767398848
17.0,131072.0,10749.0,0.125,0.0625,2.4538834653913106,-0.002572667500777751
17.0,131072.0,10749.0,0.125,0.125,2.4558468063118717,-0.004536008421338662
18.0,262144.0,20390.0,0.0,0.0,2.5482424630296974,0.0
18.0,262144.0,20390.0,0.0,0.015625,2.548459040951658,-0.0002165779219607873
18.0,262144.0,20390.0,0.0,0.03125,2.5487181310638625,-0.00047566803416515915
18.0,262144.0,20390.0,0.0,0.0625,2.549371163745157,-0.0011287007154597824
18.0,262144.0,20390.0,0.0,0.125,2.551274493802023,-0.003032030772325776
18.0,262144.0,20390.0,0.015625,0.0,2.5483322928914793,-8.982986178212409e-05
18.0,262144.0,20390.0,0.015625,0.015625,2.548548123664865,-0.00030566063516749534
18.0,262144.0,20390.0,0.015625,0.03125,2.548806465813991,-0.0005640027842934974
18.0,262144.0,20390.0,0.015625,0.0625,2.549458000350318,-0.0012155373206207917
18.0,262144.0,20390.0,0.015625,0.125,2.5513583269317235,-0.0031158639020262093
18.0,262144.0,20390.0,0.03125,0.0,2.548455697629624,-0.00021323459992651295
18.0,262144.0,20390.0,0.03125,0.015625,2.548670747649539,-0.0004282846198419787
18.0,262144.0,20390.0,0.03125,0.03125,2.5489283077814795,-0.0006858447517823517
18.0,262144.0,20390.0,0.03125,0.0625,2.549578274685771,-0.001335811656073524
18.0,262144.0,20390.0,0.03125,0.125,2.5514754530740476,-0.0032329900443504593
18.0,262144.0,20390.0,0.0625,0.0,2.548803410714292,-0.0005609476845944129
18.0,262144.0,20390.0,0.0625,0.015625,2.5490167980260257,-0.0007743349963284243
18.0,262144.0,20390.0,0.0625,0.03125,2.5492726915731745,-0.001030228543477109
18.0,262144.0,20390.0,0.0625,0.0625,2.5499193139714627,-0.0016768509417654908
18.0,262144.0,20390.0,0.0625,0.125,2.5518097602416874,-0.003567297211990293
18.0,262144.0,20390.0,0.125,0.0,2.549903644980176,-0.0016611819504788754
18.0,262144.0,20390.0,0.125,0.015625,2.550113299501542,-0.0018708364718444698
18.0,262144.0,20390.0,0.125,0.03125,2.55036544709877,-0.0021229840690730134
18.0,262144.0,20390.0,0.125,0.0625,2.5510045383318065,-0.002762075302109305
18.0,262144.0,20390.0,0.125,0.125,2.552879766960089,-0.004637303930392001
