null_index,exp,X,n,R_bits_per_gap
22,17.0,131072.0,10810.0,-9.25069380203513e-05
22,18.0,262144.0,20294.0,-4.927564797477103e-05
22,19.0,524288.0,38646.0,-2.58758991874974e-05
22,20.0,1048576.0,73671.0,-1.3573862171003721e-05
22,21.0,2097152.0,140809.0,-7.101818775788437e-06
22,22.0,4194304.0,267959.0,-3.7319142107561415e-06
22,23.0,8388608.0,513487.0,-1.947468971950481e-06
22,24.0,16777216.0,984952.0,-1.015277901867298e-06
22,25.0,33554432.0,1894405.0,-5.278702283830222e-07
22,26.0,67108864.0,3648412.0,-2.740918514685241e-07
23,15.0,32768.0,3098.0,-0.0003227888960619718
23,16.0,65536.0,5687.0,-0.00017583963425355927
23,17.0,131072.0,10780.0,-9.276437847866422e-05
23,18.0,262144.0,20283.0,-4.930237144406616e-05
23,19.0,524288.0,38834.0,-2.575063089045732e-05
23,20.0,1048576.0,73541.0,-1.359785697774064e-05
23,21.0,2097152.0,140123.0,-7.136587141297312e-06
23,22.0,4194304.0,269107.0,-3.7159940098178186e-06
23,23.0,8388608.0,513886.0,-1.945956885379178e-06
23,24.0,16777216.0,986277.0,-1.0139139410124999e-06
23,25.0,33554432.0,1895948.0,-5.274406260087162e-07
23,26.0,67108864.0,3645922.0,-2.742790438193661e-07
24,15.0,32768.0,3001.0,-0.0003332222592469204
24,16.0,65536.0,5781.0,-0.00017298045320878928
24,17.0,131072.0,10784.0,-9.272997032640813e-05
24,18.0,262144.0,20381.0,-4.906530592218218e-05
24,19.0,524288.0,38578.0,-2.5921509668723158e-05
24,20.0,1048576.0,73916.0,-1.3528870609881806e-05
24,21.0,2097152.0,140560.0,-7.114399544678448e-06
24,22.0,4194304.0,268825.0,-3.7198921231284408e-06
24,23.0,8388608.0,514532.0,-1.9435137173198005e-06
24,24.0,16777216.0,985319.0,-1.0148997431288835e-06
24,25.0,33554432.0,1891879.0,-5.285750304326958e-07
24,26.0,67108864.0,3646286.0,-2.7425166319920606e-07
25,15.0,32768.0,3019.0,-0.00033123550844650575
25,16.0,65536.0,5731.0,-0.00017448961786773858
25,17.0,131072.0,10832.0,-9.231905465288112e-05
25,18.0,262144.0,20343.0,-4.915695816742875e-05
25,19.0,524288.0,38690.0,-2.584647195657756e-05
25,20.0,1048576.0,73643.0,-1.3579023125076137e-05
25,21.0,2097152.0,140545.0,-7.115158845921099e-06
25,22.0,4194304.0,268063.0,-3.7304663455976934e-06
25,23.0,8388608.0,514253.0,-1.9445681405845125e-06
25,24.0,16777216.0,984670.0,-1.0155686676754944e-06
25,25.0,33554432.0,1893346.0,-5.281654805830389e-07
25,26.0,67108864.0,3644325.0,-2.743992371701262e-07
26,15.0,32768.0,3107.0,-0.0003218538783392337
26,16.0,65536.0,5825.0,-0.00017167381974248953
26,17.0,131072.0,10942.0,-9.139097057210723e-05
26,18.0,262144.0,20230.0,-4.943153732081015e-05
26,19.0,524288.0,38782.0,-2.5785158063019116e-05
26,20.0,1048576.0,73688.0,-1.357073064813824e-05
26,21.0,2097152.0,140363.0,-7.1243846312776885e-06
26,22.0,4194304.0,268608.0,-3.7228973076006235e-06
26,23.0,8388608.0,513690.0,-1.9466993712160144e-06
26,24.0,16777216.0,985716.0,-1.014490989291031e-06
26,25.0,33554432.0,1894173.0,-5.279348823998511e-07
26,26.0,67108864.0,3645173.0,-2.743354019137073e-07
27,15.0,32768.0,2968.0,-0.0003369272237196739
27,16.0,65536.0,5684.0,-0.00017593244194229223
27,17.0,131072.0,10747.0,-9.304922303898842e-05
27,18.0,262144.0,20704.0,-4.8299845440494806e-05
27,19.0,524288.0,38602.0,-2.5905393502927515e-05
27,20.0,1048576.0,73410.0,-1.3622122326658385e-05
27,21.0,2097152.0,140757.0,-7.104442407837528e-06
27,22.0,4194304.0,267542.0,-3.7377308983261046e-06
27,23.0,8388608.0,513032.0,-1.9491961515071254e-06
27,24.0,16777216.0,987339.0,-1.012823356516883e-06
27,25.0,33554432.0,1893340.0,-5.28167154340983e-07
27,26.0,67108864.0,3647879.0,-2.74131899660032e-07
28,15.0,32768.0,3038.0,-0.00032916392363396927
28,16.0,65536.0,5701.0,-0.0001754078231889146
28,17.0,131072.0,10750.0,-9.302325581395382e-05
28,18.0,262144.0,20460.0,-4.8875855327467424e-05
28,19.0,524288.0,38831.0,-2.5752620329118544e-05
28,20.0,1048576.0,73638.0,-1.3579945137021555e-05
28,21.0,2097152.0,139804.0,-7.152871162484591e-06
28,22.0,4194304.0,268929.0,-3.718453569529533e-06
28,23.0,8388608.0,513068.0,-1.949059383941291e-06
28,24.0,16777216.0,985709.0,-1.014498193685965e-06
28,25.0,33554432.0,1893893.0,-5.280129342048276e-07
28,26.0,67108864.0,3648780.0,-2.740642077625828e-07
29,15.0,32768.0,3024.0,-0.00033068783068782893
29,16.0,65536.0,5815.0,-0.00017196904557179607
29,17.0,131072.0,10657.0,-9.383503800319075e-05
29,18.0,262144.0,20270.0,-4.933399111988233e-05
29,19.0,524288.0,38619.0,-2.5893990004919966e-05
29,20.0,1048576.0,73245.0,-1.3652809065465264e-05
29,21.0,2097152.0,139942.0,-7.145817552986143e-06
29,22.0,4194304.0,267845.0,-3.7335025854506383e-06
29,23.0,8388608.0,514141.0,-1.9449917435100555e-06
29,24.0,16777216.0,984027.0,-1.0162322781793047e-06
29,25.0,33554432.0,1894191.0,-5.279298655732275e-07
29,26.0,67108864.0,3647646.0,-2.741494103320366e-07
30,15.0,32768.0,2984.0,-0.00033512064343163545
30,16.0,65536.0,5782.0,-0.0001729505361466593
30,17.0,131072.0,10786.0,-9.271277582050677e-05
30,18.0,262144.0,20317.0,-4.921986513756922e-05
30,19.0,524288.0,38578.0,-2.59215096687234e-05
30,20.0,1048576.0,74043.0,-1.3505665626730704e-05
30,21.0,2097152.0,140320.0,-7.126567844925708e-06
30,22.0,4194304.0,267883.0,-3.7329729770084528e-06
30,23.0,8388608.0,513916.0,-1.9458432895648823e-06
30,24.0,16777216.0,986657.0,-1.0135234433039863e-06
30,25.0,33554432.0,1895035.0,-5.276947391473266e-07
30,26.0,67108864.0,3646693.0,-2.7422105452804245e-07
31,15.0,32768.0,3067.0,-0.0003260515161395474
31,16.0,65536.0,5708.0,-0.0001751927119831815
31,17.0,131072.0,10757.0,-9.296272194849995e-05
31,18.0,262144.0,20526.0,-4.871869823638228e-05
31,19.0,524288.0,38519.0,-2.596121394636401e-05
31,20.0,1048576.0,73345.0,-1.3634194559955956e-05
31,21.0,2097152.0,140507.0,-7.117083134647889e-06
31,22.0,4194304.0,268969.0,-3.717900575902762e-06
31,23.0,8388608.0,513644.0,-1.9468737101961064e-06
31,24.0,16777216.0,985756.0,-1.014449823282829e-06
31,25.0,33554432.0,1893660.0,-5.280779020521057e-07
31,26.0,67108864.0,3647030.0,-2.741957154177641e-07
32,15.0,32768.0,3089.0,-0.0003237293622531566
32,16.0,65536.0,5697.0,-0.00017553098121818547
32,17.0,131072.0,10681.0,-9.362419249133823e-05
32,18.0,262144.0,20386.0,-4.905327185323326e-05
32,19.0,524288.0,38556.0,-2.5936300446104563e-05
32,20.0,1048576.0,73549.0,-1.3596377924920684e-05
32,21.0,2097152.0,140514.0,-7.116728582205556e-06
32,22.0,4194304.0,267810.0,-3.733990515663969e-06
32,23.0,8388608.0,513883.0,-1.945968245690115e-06
32,24.0,16777216.0,984855.0,-1.0153778982692738e-06
32,25.0,33554432.0,1895982.0,-5.274311675954817e-07
32,26.0,67108864.0,3647941.0,-2.741272405447392e-07
33,15.0,32768.0,3070.0,-0.00032573289902280186
33,16.0,65536.0,5685.0,-0.0001759014951627079
33,17.0,131072.0,10837.0,-9.227646027498578e-05
33,18.0,262144.0,20413.0,-4.898838975162885e-05
33,19.0,524288.0,38543.0,-2.594504838751526e-05
33,20.0,1048576.0,73440.0,-1.3616557734204769e-05
33,21.0,2097152.0,139845.0,-7.150774071293186e-06
33,22.0,4194304.0,268532.0,-3.7239509630136406e-06
33,23.0,8388608.0,514477.0,-1.9437214880353765e-06
33,24.0,16777216.0,985811.0,-1.014393225476266e-06
33,25.0,33554432.0,1894834.0,-5.277507158938338e-07
33,26.0,67108864.0,3648109.0,-2.7411461664110587e-07
34,15.0,32768.0,3033.0,-0.00032970656116056623
34,16.0,65536.0,5700.0,-0.00017543859649122987
34,17.0,131072.0,10718.0,-9.330098899048535e-05
34,18.0,262144.0,20252.0,-4.937783922575398e-05
34,19.0,524288.0,38690.0,-2.5846471956577124e-05
34,20.0,1048576.0,73434.0,-1.3617670288967214e-05
34,21.0,2097152.0,140044.0,-7.140612950215469e-06
34,22.0,4194304.0,268126.0,-3.729589819711662e-06
